language.EnglishName|language.hlCode|language.google|look_back.title|look_up.title|look_forward.title|look_back.question.1|look_back.question.2|look_back.question.3|look_back.question.4|look_back.question.5|look_up.question.1|look_up.question.2|look_up.question.3|look_up.question.4|look_up.question.5|look_up.question.6|look_forward.question.1|look_forward.question.2|look_forward.question.3|look_forward.question.4|promo.discovery_bible_study|promo.discuss_with_friends|promo.invite_to_discover|promo.discussion_starter||promo.individual_discovery|promo.group_discovery|select_passage|topic.1|topic.2|topic.3|topic.4|topic.5|topic.6|topic.7|topic.8|topic.9|topic.10|topic.11|topic.12|topic.13|topic.14|topic.15|topic.16|topic.17|topic.18|topic.19|topic.20|topic.21|topic.22|topic.23
Bambara||bm||||||||||||||||||||||||||||||||||||||||||||#VALUE!|||||#VALUE!
Basque|bas29|eu|Atzera begiratu|Begiratu Gora|Aurrera begira|Zer eskertzen duzu aste honetan?|Zerekin ari zara borrokan eta nola lagundu dezakegu?|Nola jarri zenuten praktikan ezagutu genuen azken aldian aztertu genuen Eskritura/istorioa?|Norekin partekatu zenuen joan den asteko ikasgaia eta nola joan zen?|Zein premia bete zenituen komunitatean joan den astean?|Eskatu norbaiti pasartea paragrafoz paragrafo irakurtzeko.|Taldekide batek bere hitzekin kontatzea.|Galdetu taldeari zerbait gehitu edo kanpoan utzi duen.|Paragrafo GUZTIAK bukatzen dituzunean, eskatu taldeko norbaiti istorio OSOA memoriaz kontatzeko. Taldeari akatsak zuzentzea.|Zer esaten digu pasarte honek Jainkoari edo Jesusi buruz?|Zer esaten digu pasarte honek pertsonei buruz?|Pasarte hau egia bada, zein jokaera aldatu beharko genuke aste honetan?|Nori kontatuko diozu istorio hau aste honetan?|Zer behar ase ditzakegu aste honetan komunitatean?|Noiz elkartu nahi duzu berriro?|Discovery Biblia Azterketa|Eztabaida Lagunekin|Zure lagunekin deskubritu nahiko zenuke Jainkoa nolakoa den eta Jainkoak nola nahi duzun bizitzea?|Hona hemen galdera batzuk zure eztabaida hasteko.||Zure kabuz ezagutu nahi al zenuke Jainkoa nolakoa den eta Jainkoak nola nahi duzun bizitzea?|Jendeari gehien gustatzen zaio aurkikuntza hauek talde batean egitea bere lagunekin.|Hautatu Pasabidea|Hasiera|Lorategia|Aukera|Abraham|10 Aginduak|Bekaturako Eskaintzak|Sufrimenduaren Zerbitzaria|Jesusen jaiotza|Jesusen bataioa|Nikodemo|Emakume samariarra|Gizon Paralizatua|Ekaitza|Deabruz jabetutako Gizona|Lazaro|Hitza|Atxilotua|Jesusen epaiketa|Gurutziltzatua|Berpizkundea|Hartua|Erantzunak|Komunitatea
Belarusian|ruw00|be|Азірніся назад|Глядзі ўверх|Глядзі наперад|За што вы ўдзячны на гэтым тыдні?|З чым вы змагаецеся і чым мы можам дапамагчы?|Як вы прымянілі на практыцы пісанне/гісторыю, якую мы вывучалі ў мінулы раз?|З кім вы дзяліліся ўрокам на мінулым тыдні і як ён прайшоў?|Якія патрэбы вы сустрэлі ў суполцы на мінулым тыдні?|Папрасіце каго-небудзь прачытаць урывак па абзацах.|Няхай член групы раскажа гэта сваімі словамі.|Спытайце групу, ці дадалі яны што-небудзь ці прапусцілі.|Калі вы скончыце з УСЕМІ абзацамі, папрасіце каго-небудзь з групы расказаць на памяць УСЮ гісторыю. Няхай група выправіць усе памылкі.|Што гэты ўрывак кажа нам пра Бога ці Езуса?|Што гэты ўрывак гаворыць нам пра людзей?|Калі гэты ўрывак праўда, якія паводзіны мы павінны змяніць на гэтым тыдні?|Каму вы раскажаце гэтую гісторыю на гэтым тыдні?|Якія патрэбы мы можам задаволіць у суполцы на гэтым тыдні?|Калі вы хочаце сустрэцца зноў?|Вывучэнне Бібліі Discovery|Дыскус з сябрамі|Хочаце даведацца з сябрамі, што такое Бог і як Бог хоча, каб вы жылі?|Вось некалькі пытанняў, каб пачаць ваша абмеркаванне.||Ці жадаеце вы самі даведацца, што такое Бог і як Бог хоча, каб вы жылі?|Большасць людзей любяць рабіць гэтыя адкрыцці ў групе са сваімі сябрамі.|Выберыце Праход|Пачатак|Сад|Выбар|Абрагам|10 запаведзяў|Ахвяры за грэх|Пакутны Слуга|Нараджэнне Ісуса|Хрост Езуса|Нікадзіма|Самаранка|Паралізаваны чалавек|Бура|Апантаны дэманам|Лазар|Слова|Арыштаваны|Суд над Езусам|Укрыжаваны|Уваскрасенне|Забраны|Водгукі|Супольнасць
Bengali|bng00|bn|ফিরে তাকান|উপরে দেখুন|সামনে তাকান|এই সপ্তাহের জন্য আপনি কি কৃতজ্ঞ?|আপনি কি সঙ্গে সংগ্রাম করছেন এবং আমরা কিভাবে সাহায্য করতে পারেন?|আমরা শেষবার যে শাস্ত্র/গল্পটি অধ্যয়ন করেছি তা আপনি কীভাবে অনুশীলন করেছিলেন?|আপনি কার সাথে গত সপ্তাহের পাঠ ভাগ করেছেন এবং এটি কীভাবে গেল?|আপনি গত সপ্তাহে সম্প্রদায়ের কি চাহিদা পূরণ করেছেন?|কাউকে একবারে একটি অনুচ্ছেদটি পড়তে বলুন।|গ্রুপের একজন সদস্যকে তাদের নিজের ভাষায় বলতে বলুন।|গোষ্ঠীকে জিজ্ঞাসা করুন যে তারা কিছু যোগ করেছে বা কিছু রেখে গেছে কিনা।|আপনি যখন সমস্ত অনুচ্ছেদ দিয়ে শেষ করেন, তখন গ্রুপের কাউকে মেমরির মাধ্যমে পুরো গল্পটি বলতে বলুন। গ্রুপ কোন ত্রুটি সংশোধন করুন.|এই অনুচ্ছেদ ঈশ্বর বা যীশু সম্পর্কে আমাদের কি বলে?|এই অনুচ্ছেদ মানুষ সম্পর্কে আমাদের কি বলে?|যদি এই উত্তরণটি সত্য হয়, তাহলে এই সপ্তাহে আমাদের কোন আচরণ পরিবর্তন করা উচিত?|আপনি এই সপ্তাহে এই গল্প কাকে বলবেন?|আমরা এই সপ্তাহে সম্প্রদায়ের কি চাহিদা পূরণ করতে পারি?|আপনি আবার কখন দেখা করতে চান?|আবিষ্কার বাইবেল অধ্যয়ন|বন্ধুদের সাথে আলোচনা|আপনি কি আপনার বন্ধুদের সাথে আবিষ্কার করতে চান ঈশ্বর কেমন এবং ঈশ্বর আপনি কীভাবে বাঁচতে চান?|আপনার আলোচনা শুরু করার জন্য এখানে কিছু প্রশ্ন রয়েছে।||আপনি কি নিজের জন্য আবিষ্কার করতে চান ঈশ্বর কেমন এবং ঈশ্বর আপনি কীভাবে বাঁচতে চান?|বেশিরভাগ লোকেরা তাদের বন্ধুদের সাথে একটি গ্রুপে এই আবিষ্কারগুলি করতে পছন্দ করে।|প্যাসেজ নির্বাচন করুন|দ্য বিগিনিং|উদ্যান|পছন্দ|আব্রাহাম|10 আদেশ|পাপের জন্য অর্ঘ|ভুক্তভোগী সেবক|যীশুর জন্ম|যীশুর বাপ্তিস্ম|নিকোডেমাস|সামারিটান মহিলা|পক্ষাঘাতগ্রস্ত মানুষ|ঝড়|একজন ভূত-প্রেত মানুষ|লাজারাস|শব্দ|গ্রেফতার|যীশুর বিচার|ক্রুশবিদ্ধ|পুনরুত্থান|তোলা হয়েছে|প্রতিক্রিয়া|সম্প্রদায়
Bhojpuri|bwf00|bs|Pogledaj nazad|Look Up|Look Forward|Na čemu ste zahvalni ove sedmice?|Sa čime se borite i kako vam možemo pomoći?|Kako ste primijenili u praksi stih/priču koju smo proučavali posljednji put kada smo se sreli?|S kim si podijelio prošlonedeljni čas i kako je prošao?|Koje ste potrebe zadovoljili u zajednici prošle sedmice?|Zamolite nekoga da pročita odlomak jedan po pasus.|Neka član grupe to ispriča svojim riječima.|Pitajte grupu da li su nešto dodali ili izostavili.|Kada završite sa SVIM paragrafima, zamolite nekoga u grupi da ispriča CIJELU priču po sjećanju. Neka grupa ispravi sve greške.|Šta nam ovaj odlomak govori o Bogu ili Isusu?|Šta nam ovaj odlomak govori o ljudima?|Ako je ovaj odlomak tačan, kakvo ponašanje bismo trebali promijeniti ove sedmice?|Kome ćete ispričati ovu priču ove sedmice?|Koje potrebe možemo zadovoljiti u zajednici ove sedmice?|Kada se želiš ponovo sresti?|Discovery Bible Study|Discus with Friends|Da li biste željeli sa svojim prijateljima otkriti kakav je Bog i kako Bog želi da živite?|Evo nekoliko pitanja za početak vaše rasprave.||Želite li sami otkriti kakav je Bog i kako Bog želi da živite?|Većina ljudi voli da dođe do ovih otkrića u grupi sa svojim prijateljima.|Odaberite Passage|Početak|The Garden|Izbor|Abraham|10 zapovesti|Ponude za grijeh|Sluga patnja|Isusovo rođenje|Krštenje Isusovo|Nikodem|Samaritan Woman|Paralyzed Man|Oluja|Čovjek opsjednut demonima|Lazare|Riječ|Uhapšen|Isusovo suđenje|Razapet|Uskrsnuće|Taken Up|Responses|Zajednica
Bulgarian|blg00|bg|Поглед назад|Погледни нагоре|Поглед напред|За какво сте благодарни тази седмица?|С какво се борите и как можем да помогнем?|Как приложихте на практика стиха/историята, която изучавахме последния път, когато се срещнахме?|С кого споделихте урока от миналата седмица и как мина?|Какви нужди срещнахте в общността миналата седмица?|Помолете някой да прочете пасажа един по един абзац.|Накарайте член на групата да го разкаже със свои думи.|Попитайте групата дали са добавили нещо или са пропуснали нещо.|Когато приключите с ВСИЧКИ параграфи, помолете някой от групата да разкаже ЦЯЛАТА история по памет. Накарайте групата да коригира всички грешки.|Какво ни казва този пасаж за Бог или Исус?|Какво ни казва този пасаж за хората?|Ако този пасаж е верен, какво поведение трябва да променим тази седмица?|На кого ще разкажете тази история тази седмица?|Какви нужди можем да посрещнем в общността тази седмица?|Кога искаш да се срещнем отново?|Изследване на Библията на Discovery|Дискусия с приятели|Бихте ли искали да откриете с приятелите си какъв е Бог и как Бог иска да живеете?|Ето няколко въпроса, за да започнете дискусията си.||Искате ли да откриете за себе си какъв е Бог и как Бог иска да живеете?|Повечето хора обичат да правят тези открития в група с приятелите си.|Изберете Пасаж|Началото|Градината|Изборът|Абрахам|10 заповеди|Приношения за грях|Страдащ слуга|Раждането на Исус|Кръщението на Исус|Никодим|Самарянка|Парализиран човек|Бурята|Човек, обладан от демон|Лазар|Словото|арестуван|Изпитанието на Исус|Разпнат|Възкресение|Taken Up|Отговори|Общност
Catalan|cat24|ca|Mira enrere|Mira cap amunt|Mira endavant|Què agraeixes aquesta setmana?|Amb què estàs lluitant i com et podem ajudar?|Com vas posar en pràctica l'escriptura/història que vam estudiar la darrera vegada que ens vam conèixer?|Amb qui vas compartir la lliçó de la setmana passada i com va anar?|Quines necessitats vas satisfer a la comunitat la setmana passada?|Demaneu a algú que llegeixi el fragment un paràgraf a la vegada.|Feu que un membre del grup ho expliqui amb les seves pròpies paraules.|Pregunteu al grup si han afegit alguna cosa o si han deixat alguna cosa fora.|Quan acabis amb TOTS els paràgrafs, demana a algú del grup que expliqui tota la història de memòria. Feu que el grup corrigeixi qualsevol error.|Què ens diu aquest passatge sobre Déu o Jesús?|Què ens diu aquest passatge sobre les persones?|Si aquest passatge és cert, quin comportament hem de canviar aquesta setmana?|A qui explicareu aquesta història aquesta setmana?|Quines necessitats podem satisfer a la comunitat aquesta setmana?|Quan vols retrobar-te?|Estudi de la Bíblia Discovery|Discutiu amb els amics|T'agradaria descobrir amb els teus amics com és Déu i com Déu vol que visquis?|Aquí teniu algunes preguntes per iniciar la vostra discussió.||T'agradaria descobrir per tu mateix com és Déu i com Déu vol que visquis?|A la majoria de la gent els agrada fer aquests descobriments en grup amb els seus amics.|Seleccioneu Passatge|L'inici|El Jardí|L'Elecció|Abraham|10 manaments|Ofrenes pel pecat|Servent que pateix|Naixement de Jesús|Baptisme de Jesús|Nicodem|Dona samaritana|Home Paralitzat|La tempesta|Un home posseït per dimonis|Llàtzer|La Paraula|Detingut|El judici de Jesús|Crucificat|Resurrecció|Recollit|Respostes|Comunitat
Cebuano|ceb00|ceb|Tan-aw Balik|Pangitaa|Tan-awa sa unahan|Unsa ang imong gipasalamatan niining semanaha?|Unsa ang imong gipakigbisogan ug unsaon namo pagtabang?|Giunsa nimo pagpraktis ang kasulatan/istorya nga atong gitun-an sa miaging higayon nga nagkita ta?|Kinsa ang imong gipaambitan sa leksyon sa miaging semana ug giunsa kini?|Unsa nga mga panginahanglan ang imong nahimamat sa komunidad sa miaging semana?|Hangyoa ang usa ka tawo sa pagbasa sa tudling usa ka paragraph matag higayon.|Ipasulti kini sa usa ka sakop sa grupo sa ilang kaugalingong mga pulong.|Pangutan-a ang grupo kon aduna ba silay gidugang o wala.|Kung mahuman nimo ang TANAN nga paragraph, hangyoa ang usa ka tawo sa grupo nga isaysay ang TIBUOK istorya pinaagi sa memorya. Ipatul-id sa grupo ang bisan unsang mga sayop.|Unsa ang gisulti kanato niini nga tudling mahitungod sa Dios o kang Jesus?|Unsa ang gisulti kanato niini nga tudling mahitungod sa mga tawo?|Kon kini nga tudling tinuod, unsa nga kinaiya ang atong usbon karong semanaha?|Kinsa ang imong isulti niini nga istorya karong semanaha?|Unsang mga panginahanglanon ang atong matubag sa komunidad karong semanaha?|Kanus-a ka gusto magkita pag-usab?|Pagtuon sa Bibliya sa Discovery|Hisguti uban sa mga Higala|Gusto ba nimong madiskobrehan uban sa imong mga higala kon unsa ang Diyos ug sa unsang paagi gusto sa Diyos nga ikaw magkinabuhi?|Ania ang pipila ka mga pangutana aron masugdan ang imong diskusyon.||Gusto ba nimo nga madiskobrehan sa imong kaugalingon kung unsa ang Diyos ug kung unsa ang gusto sa Diyos nga imong mabuhi?|Kadaghanan sa mga tawo ganahan nga maghimo niini nga mga nadiskobrehan sa usa ka grupo uban sa ilang mga higala.|Pilia ang Passage|Ang Sinugdanan|Ang Tanaman|Ang Pagpili|Abraham|10 Mga Sugo|Mga Halad alang sa Sala|Nag-antos nga Alagad|Pagkatawo ni Jesus|Bautismo ni Jesus|Nicodemo|Babaye nga Samarianhon|Paralitiko nga Tawo|Ang Bagyo|Usa ka Tawo nga Giyawaan|Lazarus|Ang Pulong|Gidakop|Pagsulay ni Jesus|Gilansang sa krus|Pagkabanhaw|Gikuha|Mga tubag|Komunidad
Chinese (Simplified)|chn-s|zh-CN|回顾|抬头|期待|这周你要感谢什么？|您遇到什么困难以及我们如何提供帮助？|你如何将我们上次见面时学习的经文/故事付诸实践？|您与谁分享了上周的课程，进展如何？|上周您在社区满足了哪些需求？|请某人一次一段地阅读该文章。|让小组成员用自己的话讲述。|询问小组是否添加了任何内容或遗漏了任何内容。|当您完成所有段落后，请小组中的某人凭记忆讲述整个故事。让小组纠正任何错误。|这段经文告诉我们关于上帝或耶稣的什么？|这段经文告诉我们关于人的什么？|如果这段话是真的，本周我们应该改变什么行为？|这周你会向谁讲述这个故事？|本周我们可以在社区中满足哪些需求？|你想什么时候再见面？|探索圣经研究|与朋友讨论|您想和您的朋友一起发现上帝是什么样的以及上帝希望您如何生活吗？|这里有一些问题可以帮助您开始讨论。||你想亲自发现神是什么样的以及神希望你如何生活吗？|大多数人喜欢与朋友一起进行这些发现。|选择通道|开始|花园|选择|亚伯拉罕|十诫|赎罪祭|受苦的仆人|耶稣的诞生|耶稣的洗礼|尼哥底母|撒玛利亚妇人|瘫痪者|风暴|被鬼附的人|拉撒路|话语|被捕|耶稣的审判|钉在十字架上|复活|采取了|回应|社区
Chinese (Traditional)|chn-t|zh-TW|回顧|抬頭|期待|這週你要感謝什麼？|您遇到什麼困難以及我們如何提供協助？|你如何將我們上次見面時學習的經文/故事付諸實現？|您與誰分享了上週的課程，進度如何？|上週您在社區滿足了哪些需求？|請某人一次一段地閱讀該文章。|讓組員用自己的話講述。|詢問小組是否添加了任何內容或遺漏了任何內容。|當您完成所有段落後，請小組中的某人憑記憶講述整個故事。讓小組糾正任何錯誤。|這段經文告訴我們關於上帝或耶穌的什麼？|這段經文告訴我們關於人的什麼？|如果這段話是真的，本週我們該改變什麼行為？|這週你會向誰說這個故事？|本週我們可以在社區中滿足哪些需求？|你想什麼時候再見面？|探索聖經研究|與朋友討論|您想和您的朋友一起發現上帝是什麼樣的以及上帝希望您如何生活嗎？|這裡有一些問題可以幫助您開始討論。||你想親自發現神是什麼樣的、神希望你如何生活嗎？|大多數人喜歡與朋友一起進行這些發現。|選擇頻道|開始|花園|選擇|亞伯拉罕|十誡|贖罪祭|受苦的僕人|耶穌的誕生|耶穌的洗禮|尼哥底母|撒瑪利亞婦人|癱瘓者|風暴|被鬼附的人|拉撒路|話語|被捕|耶穌的審判|釘在十字架上|復活|採取了|回應|社群
Corsican||co|Fighjate in daretu|Circà|Aspettà ansiosamente|Chì ti ringraziu per sta settimana?|Chì avete a lotta è cumu pudemu aiutà?|Cumu mette in pratica l'Scrittura / storia chì avemu studiatu l'ultima volta chì avemu scontru?|Cù quale avete spartutu a lezione di a settimana passata è cumu hè andata ?|Chì bisogni avete scuntratu in a cumunità a settimana passata ?|Dumandate à qualchissia per leghje u passaghju un paràgrafu à tempu.|Fate chì un membru di u gruppu li dicia in e so parolle.|Pregunte à u gruppu s'ellu aghjunghjenu qualcosa o lasciatu qualcosa.|Quandu finisci cù TUTTI i paragrafi, dumandate à qualchissia in u gruppu per cuntà a storia TUTTA per memoria. Fate chì u gruppu corregge ogni errore.|Chì ci dice stu passaghju di Diu o di Ghjesù ?|Chì ci dice stu passaghju di e persone ?|Se stu passaghju hè veru, chì cumpurtamentu duvemu cambià sta settimana?|À quale cuntarete sta storia sta settimana ?|Chì bisogni pudemu scuntrà in a cumunità sta settimana?|Quandu vulete ritruvà ?|Scuperta Studiu Bibbia|Discussi cù l'Amici|Vulete scopre cù i vostri amichi ciò chì Diu hè cum'è è cumu Diu voli chì tù campà ?|Eccu alcune dumande per inizià a vostra discussione.||Vulete scopre per voi stessu ciò chì Diu hè cum'è è cumu Diu voli chì tù campà ?|A maiò parte di a ghjente piace à fà queste scuperte in un gruppu cù i so amichi.|Selezziunà Passage|U principiu|U Giardinu|A Scelta|Abraham|10 Cumandamenti|Offerte per u peccatu|Servitore Suffrente|Nascita di Ghjesù|Battesimu di Ghjesù|Nicodemu|Donna Samaritana|Omu paralizatu|A Tempesta|Un omu pussedutu da u demoniu|Làzaru|A Parola|Arrestatu|Prucessu di Ghjesù|Crucificatu|Risurrezzione|Pigliatu|Risposte|Cumunità
Croatian|hrv00|hr|Pogledaj nazad|Pogled gore|Gledaj naprijed|Na čemu ste zahvalni ovaj tjedan?|S čime se borite i kako vam možemo pomoći?|Kako ste proveli u praksi stih/priču koju smo proučavali prošli put kada smo se sreli?|S kim ste dijelili lekciju prošlog tjedna i kako je prošlo?|Koje ste potrebe sreli u zajednici prošli tjedan?|Zamolite nekoga da pročita odlomak odlomak po odlomak.|Neka član grupe to ispriča svojim riječima.|Pitajte grupu jesu li nešto dodali ili izostavili.|Kada završite sa SVIM odlomcima, zamolite nekoga u grupi da ispriča CIJELU priču napamet. Neka grupa ispravi pogreške.|Što nam ovaj odlomak govori o Bogu ili Isusu?|Što nam ovaj odlomak govori o ljudima?|Ako je ovaj odlomak istinit, koje bismo ponašanje trebali promijeniti ovaj tjedan?|Kome ćeš ispričati ovu priču ovaj tjedan?|Koje potrebe možemo zadovoljiti u zajednici ovaj tjedan?|Kada se želiš ponovno naći?|Proučavanje Biblije Discovery|Diskutirajte s prijateljima|Želiš li sa svojim prijateljima otkriti kakav je Bog i kako Bog želi da živiš?|Evo nekoliko pitanja za početak vaše rasprave.||Želite li sami otkriti kakav je Bog i kako Bog želi da živite?|Većina ljudi voli dolaziti do ovih otkrića u grupi sa svojim prijateljima.|Odaberite prolaz|Početak|Vrt|Izbor|Abraham|10 zapovijedi|Prinosi za grijeh|Sluga patnik|Rođenje Isusovo|Krštenje Isusovo|Nikodem|Samarijanka|Paralizirani čovjek|Oluja|Čovjek opsjednut demonima|Lazara|Riječ|Uhićen|Isusovo suđenje|Razapet|Uskrsnuće|Uzeto|Odgovori|Zajednica
Czech|czc00|cs|Podívejte se zpět|Vyhledat|Těšte se dopředu|Za co jste tento týden vděční?|S čím se potýkáte a jak vám můžeme pomoci?|Jak jste uvedli do praxe písmo/příběh, který jsme studovali, když jsme se naposledy setkali?|S kým jste sdíleli lekci z minulého týdne a jak probíhala?|S jakými potřebami jste se v komunitě setkali minulý týden?|Požádejte někoho, aby přečetl pasáž po jednotlivých odstavcích.|Požádejte člena skupiny, aby to řekl vlastními slovy.|Zeptejte se skupiny, zda něco přidali nebo něco vynechali.|Až skončíte se VŠEMI odstavci, požádejte někoho ve skupině, aby vyprávěl CELÝ příběh zpaměti. Nechte skupinu opravit případné chyby.|Co nám tato pasáž říká o Bohu nebo Ježíši?|Co nám tato pasáž říká o lidech?|Pokud je tato pasáž pravdivá, jaké chování bychom tento týden měli změnit?|Komu tento příběh povíte tento týden?|Jaké potřeby můžeme tento týden v komunitě splnit?|Kdy se chcete znovu setkat?|Discovery Bible Study|Diskutujte s přáteli|Chtěli byste se svými přáteli zjistit, jaký je Bůh a jak Bůh chce, abyste žili?|Zde je několik otázek pro zahájení vaší diskuse.||Chtěli byste sami zjistit, jaký je Bůh a jak Bůh chce, abyste žili?|Většina lidí tyto objevy ráda dělá ve skupině se svými přáteli.|Vyberte Průchod|Počátek|Zahrada|Volba|Abraham|10 přikázání|Oběti za hřích|Trpící služebník|Narození Ježíše|Ježíšův křest|Nikodém|Samaritánská žena|Paralyzovaný muž|Bouře|Muž posedlý démony|Lazar|Slovo|Zatčen|Ježíšova zkouška|Ukřižovaný|Vzkříšení|Převzato|Odpovědi|Společenství
Danish|dan99|da|Se tilbage|Kig op|Se fremad|Hvad er du taknemmelig for i denne uge?|Hvad kæmper du med, og hvordan kan vi hjælpe?|Hvordan praktiserede du det skriftsted/historie, vi studerede, sidste gang vi mødtes?|Hvem delte du sidste uges lektion med, og hvordan gik det?|Hvilke behov mødte du i samfundet i sidste uge?|Bed nogen om at læse afsnittet et afsnit ad gangen.|Få et gruppemedlem til at fortælle det med deres egne ord.|Spørg gruppen, om de har tilføjet noget eller udeladt noget.|Når du er færdig med ALLE afsnit, så bed en i gruppen om at fortælle HELE historien ved at huske. Få gruppen til at rette eventuelle fejl.|Hvad fortæller denne passage os om Gud eller Jesus?|Hvad fortæller denne passage os om mennesker?|Hvis denne passage er sand, hvilken adfærd skal vi så ændre i denne uge?|Hvem vil du fortælle denne historie til i denne uge?|Hvilke behov kan vi opfylde i samfundet i denne uge?|Hvornår vil du mødes igen?|Discovery Bibelstudie|Diskuter med venner|Kunne du tænke dig at opdage sammen med dine venner, hvordan Gud er, og hvordan Gud ønsker, at du skal leve?|Her er nogle spørgsmål for at få din diskussion i gang.||Kunne du tænke dig at opdage, hvordan Gud er, og hvordan Gud ønsker, at du skal leve?|De fleste mennesker kan lide at gøre disse opdagelser i en gruppe med deres venner.|Vælg Passage|Begyndelsen|Haven|Valget|Abraham|10 bud|Offer for synd|Lidende Tjener|Jesu fødsel|Jesu dåb|Nikodemus|samaritansk kvinde|Lammet mand|Stormen|En Dæmonbesat Mand|Lazarus|Ordet|Arresteret|Jesu prøvelse|Korsfæstet|Opstandelse|Optaget|Svar|Fællesskab
Dhivehi||dv||||||||||||||||||||||||||||||||||||||||||||#VALUE!|||||#VALUE!
Dogri||doi||||||||||||||||||||||||||||||||||||||||||||#VALUE!|||||#VALUE!
Dutch|dut99|nl|Kijk terug|Kijk omhoog|Kijk vooruit|Waar ben jij deze week dankbaar voor?|Waar worstelt u mee en hoe kunnen wij u helpen?|Hoe heb je de tekst/het verhaal dat we de laatste keer dat we elkaar ontmoetten bestudeerden, in praktijk gebracht?|Met wie heb jij de les van vorige week gedeeld en hoe ging dat?|In welke behoeften heeft u de afgelopen week in de gemeenschap voorzien?|Vraag iemand om de passage paragraaf voor paragraaf voor te lezen.|Laat een groepslid het in zijn eigen woorden vertellen.|Vraag de groep of ze iets hebben toegevoegd of iets hebben weggelaten.|Als je klaar bent met ALLE alinea's, vraag dan iemand in de groep om het HELE verhaal uit het hoofd te vertellen. Laat de groep eventuele fouten corrigeren.|Wat vertelt deze passage ons over God of Jezus?|Wat vertelt deze passage ons over mensen?|Als deze passage waar is, welk gedrag moeten we dan deze week veranderen?|Aan wie vertel jij dit verhaal deze week?|In welke behoeften kunnen we deze week in de gemeenschap voorzien?|Wanneer willen jullie elkaar weer ontmoeten?|Ontdekking Bijbelstudie|Discussiëren met vrienden|Wilt u samen met uw vrienden ontdekken hoe God is en hoe God wil dat u leeft?|Hier zijn enkele vragen om uw discussie op gang te brengen.||Wilt u zelf ontdekken hoe God is en hoe God wil dat u leeft?|De meeste mensen doen deze ontdekkingen graag in een groep met hun vrienden.|Selecteer Doorgang|Het begin|De tuin|De keuze|Abraham|10 geboden|Offers voor de zonde|Lijdende dienaar|Geboorte van Jezus|Doopsel van Jezus|Nikodemus|Samaritaanse vrouw|Verlamde mens|De storm|Een door demonen bezeten man|Lazarus|Het Woord|Gearresteerd|Het proces van Jezus|Gekruisigd|Opstanding|Opgenomen|Reacties|Gemeenschap
Esperanto|epo19|eo|Rigardu Malantaŭen|Rigardu Supren|Rigardu Antaŭen|Pro kio vi dankas ĉi tiun semajnon?|Kion vi luktas kaj kiel ni povas helpi?|Kiel vi praktikis la skribaĵon/rakonton, kiun ni studis la lastan fojon, kiam ni renkontis?|Kun kiu vi dividis la lecionon de la pasinta semajno kaj kiel ĝi iris?|Kiajn bezonojn vi renkontis en la komunumo pasintsemajne?|Petu iun legi la trairejon unu alineon samtempe.|Havu grupanon rakonti ĝin per siaj propraj vortoj.|Demandu al la grupo ĉu ili aldonis ion aŭ forlasis ion.|Kiam vi finos kun ĈIUJ alineoj, petu iun en la grupo rakonti la TUTAN rakonton memore. Havu la grupon korekti iujn ajn erarojn.|Kion ĉi tiu pasaĵo diras al ni pri Dio aŭ Jesuo?|Kion ĉi tiu pasaĵo diras al ni pri homoj?|Se ĉi tiu paŝo estas vera, kian konduton ni ŝanĝu ĉi-semajne?|Al kiu vi rakontos ĉi tiun historion ĉi-semajne?|Kiajn bezonojn ni povas renkonti en la komunumo ĉi-semajne?|Kiam vi volas renkontiĝi denove?|Discovery Biblia Studo|Diskuti kun Amikoj|Ĉu vi ŝatus malkovri kun viaj amikoj, kia estas Dio kaj kiel Dio volas, ke vi vivu?|Jen kelkaj demandoj por komenci vian diskuton.||Ĉu vi ŝatus malkovri mem, kia estas Dio kaj kiel Dio volas, ke vi vivu?|Plej multaj homoj ŝatas fari ĉi tiujn malkovrojn en grupo kun siaj amikoj.|Elektu Trairejon|La Komenco|La Ĝardeno|La Elekto|Abraham|10 Ordonoj|Oferoj por Peko|Suferanta Servisto|Naskiĝo de Jesuo|Bapto de Jesuo|Nikodemo|Samaria Virino|Paralizita Homo|La Ŝtormo|Demon-Posedita Homo|Lazaro|La Vorto|Arestita|Elprovo de Jesuo|Krucumita|Resurekto|Prenite|Respondoj|Komunumo
